Bangla,Chakma
অত সহজে,হাড়া সত্তে
অতঃপর,জেরে
অতঃপর,জেরেদি
অতঃপর,জেরেন্দি
অতিক্রম করা,কাদানা
অতিক্রম করা,দেঘানা
অতিক্ষুদ্র,লিত্তিং
অতিক্ষুদ্র,লিচ্চিং
অতিথি,গর্বা
অতিথি,গর্বা গর্বি
অতিবাহিত করা,কাদানা
অতিবাহিত করা,গমানা/গঙানা
অতিবাহিত হওয়া,গমি যানা
অতিবাহিত হওয়া,গুমেই যানা
অতিবাহিত হওয়া,গঙেই যানা
অতিবাহিত হওয়া,বিদি যানা
অতিবৃদ্ধ,ঘুর্ঘুচ্যা বুরো
অতিবৃদ্ধ,লঙুর্ বুরো
অতিবৃদ্ধ,তিন্ শিরে
অতিষ্ঠ করা,জালানা
অতিষ্ঠ করা,সুঘে না থনা
অতিষ্ঠ করা,তছ্যা লাগানা
অতিষ্ঠ করা,তছ্যা হাবানা
অতিরিক্ত,বেচ্
অতিরিক্ত,তাং বাড়া
অতিরিক্ত,বাড়া
অতিরিক্ত,মরামচ্যা
অতিরিক্ত,বারাবাচ্যা
অতিরিক্ত,অমগদ
অতিরিক্ত,অমগত্য
অতীত হওয়া,হরানা
অতীত হওয়া,বিদি যানা
অতীত হওয়া,খোরে যানা
অতীত হওয়া,গমি যানা
অতীত,বিদি যিয়ে
অতীত হওয়া,বিদি যানা
অতীতে,এত্তে
অতীতে,আগে
অতৃপ্তি,মন্ কাদা
অত্যন্ত,চেগার্
অত্যন্ত,অঘুর্
অত্যন্ত,বউহ্ত্
অত্যন্ত,ভেদের্
অত্যন্ত,সাগর্
অত্যন্ত,সসাগর্
অত্যন্ত,জদবদে
অত্যন্ত,অমগদ
অত্যন্ত,থাজা
অত্যন্ত,অমগত্য
অথর্ব,লঙুর্
অথর্ব,অহ্দগজ
অথবা,আ
অদক্ষ,ভজা
অদূরদর্শী,চোখ্ বাধি
অদৃষ্ট,দজন্
অদৃষ্ট,কবাল্
অদৃশ্য হওয়া,লুগেয়ে
অদৃশ্য হওয়া,লুক্ দ্যা
অদ্য,ইচ্যা
অদ্ভূতুড়ে,চঃংবং
অধম,অধ্রম্
অধিক,বেচ্
অধিক,ঝালাপ্বর্
অধিক,আধিক্
অধিক,আইসাই
অধিক,ঝল্লপল্ল
অধিকন্তু,আ
অধোমুখী,উভোত্
অধ্যায়,লাম়া
অনটন,নাগানাক্যা
অনটন,নিরেতিত্যা
অনটন,রুধো
অনটন,অনটন্
অনটন,অনতিত্যা
অনটন,অনপিনো
অনতিবিলম্বে,কাঝেকিচ্চে
অনতিবিলম্বে,কাঝেয়ে
অনতিবিলম্বে,ঝাদিমাদি
অনন্য,এগা
অনন্যোপায়,অতিত্তি
অনবরত,পবং পবং
অনবরত,লাগার্
অনমনীয়,তনক্
অনমনীয়,আলঙ্যা
অনমনীয়,দরমর
অনর্থক,মাগানা
অনর্থক,বানা
অনর্থক,বানাবানা
অনর্থক,চুধোমে
অনর্থক,চুধো চুধো
অনর্থক,আথ্যা
অনড়,অলর্
অনাগ্রহ,নরুচ্যা
অনাত্মীয়,পর্
অনাথ,নানুমরা
অনায়াসে,আল্গে
অনিয়ম,তক্জক্
অনিয়ম,তের্বেতের্
অনিয়ম,অগর্ বেগর্
অনিয়মিত,এলেং ভেদেং
অনীহা,আনুধোর্
অনুকরণ,ভেঙানা
অনুকরণ,ভেঙানি
অনুকুল,ধগে
অনুগমন করা,লরানা
অনুগমন করা,লরে লরে যানা
অনুনয়,কজল়ি
অনুনয়,কুজুল়ি
অনুনাসিক,নাগা  
অনুন্নত,বল্লো
অনুপযুক্ত,অধ্রম্
অনুবাদ করা,ভাঙানা
অনুভব করা,ফুদানা
অনুভূতি,সত্
অনুমান,আন্দাচ্
অনুমান,অনুমান্
অনুমান,কিয়েচ্
অনুমান করা,পাড়া পানা
অনুমান করা,আন্দাচ্ গরানা
অনুমান করা,কিয়েচ্ গরানা
অনুযোগ,তেনেন্ তেনেন্
অনুযোগ,দেম্
অনুযোগ করা,তেন্তেনানা
অনুরণন,গুংগুঙানি
অনুর্বর,রুধো
অনুরণিত হওয়া,গুংগুঙানা
অনুরূপ,ধগে ধগে
অনুরোধ,কুজুল়ি
অনুরোধ,কজল়ি
অনুসন্ধান,তক্তে
অনুসন্ধান,তগানা
অনুসন্ধান,উদো
অনুসন্ধান করা,তগানা
অনুসন্ধান করা,তক্তে লনা
অনুসন্ধান করা,উদো লনা
অনুসন্ধানকারী,তগেয়ে
অনুসরণ করা,পুনে পুনে যানা
অনুসরণ করা,লরে লরে যানা
অনুসরণ করা,পিচ্ছে পিচ্ছে যানা
অনুসরণ করা,আহ্দানা
অনুসারে,মাখ্যা
অনুসারে,ধগে
অনুসারে,অজনে
অনুসারে,মজিম্
অনেক,চেগার্
অনেক,অমুর্
অনেক,বউহ্ত্
অনেক,ভেদের্
অনেক,সাগর্
অনেক,সসাগর্
অনেক,জদবদে অমগদ
অনেক,ভালক্
অনেক,তাল্ থিগে তাল্
অনেক,ভজান্
অনেক,ভজমান্
অনেক অনেক,কোই কোই
অনেক আগে,এত্তে
অনেক আগে,সাত্ দিবুচ্যা
অনেক কষ্টে,বউহ্ত্ দুঘে
অনেক কষ্টে,বউহ্ত্ কচ্তে
অনেক কষ্টে,আহ্গিপাদি
অনেকক্ষণ,ভালক্কন্
অনেকখানি,ভালত্তমান্
অনেকখানি,ভজান্
অনেকখানি,ভজমান্
অনেকগুলো,ভালক্কুন্
অনেকদিন,ভালপ্ভিলোন্
অনেকদূর,ভালত্দূর্
অনেক ব্যবধানে,সাদালে পাদালে
অনৈক্য,তেঃং তাং
অনৈক্য,তাল়াতাল্যা
অন্ডকোষ,উহ্ল্ 
অন্ত,উদো
অন্তর,আহ্দারা
অন্তর,পর্পর্
অন্তর,জেরে
অন্তর,এহ্ত্জাবর্
অন্তরঙ্গ,ঘুন্জি মুন্জি
অন্তরঙ্গ,আলুলোঃ দুলুলো
অন্তর্দাহ,গেক্গেজি
অন্তর্দাহ,গেচ্গেজা
অন্তর্ভূক্ত করা,ফাগত্ ভরানা
অন্তর্ভূক্ত করা,ফাগত্ 
অন্তরীণ করা,বানি থনা
অন্তরীণ করা,বন্ গরি 
অন্তস্থল,আত্
অন্ত্যেষ্টিক্রিয়া,সাত্দিন্যা
অন্ত্র,পেদা
অন্তঃকরণ,রিবেং
অন্তঃসার,রিবেং
অন্দরমহল,পিজোর্
অন্ধকার,আন্ধার্
অন্ধকার,ঘুর্ ঘুর্
অন্ধকার,আন্ধার্
অন্ধ ব্যক্তি,কানা
অন্ধ ব্যক্তি,কান্
অন্ধ মহিলা,কানি
অন্নসত্র,পোই
অন্য,আবিত্জন্
অন্য কাজ,আর্ কাম্
অন্যজন,পর্
অন্যজন,আবিত্জন্
অন্যরকম,জগদাং
অন্যরকম,জুদো
অন্যরকম,ফারক্
অপক্ক,কাজাকজরা
অপক্ক,কাজা
অপছন্দ করা,দেঃ ন পারানা
অপটু,ধিলে
অপদার্থ,নাদংসারা
অপদার্থ,ভুত্তো
অপবিত্র,কগনা
অপব্যয়,চুদুর্ ভুদুর্
অপব্যয়,ফুং ফাং ভাঙানা
অপমান,অগমান্
অপর্যাপ্ত,নাগানাক্যা
অপরাধ,দুচ্
অপরাধ করা,দুচ্ গরানা
অপরাধ করা,দুচ্ কারানা
অপরাধ করা,দঝানা
অপরাধমূলক কাজ,দঝাদঝি কাম্
অপরিচ্ছন্ন,হেঞ্জর্ মেঞ্জর্
অপরিচ্ছন্ন,কাজর্
অপরিপক্ক,পেদেয়ে
অপরিষ্কার,কগনা
অপরিষ্কার,কুলুক্
অপরিষ্কার,কাজর্
অপরিষ্কার,চাগলক্
অপুষ্ট,চিত্তো
অপুষ্ট,তেনাপগরা
অপুষ্ট,বেরা
অপুষ্ট,পগরা
অপূর্ণ,উনো
অপেক্ষা,বাচ্চানাঃ
অপেক্ষা,গাপ্ফে গাপ্ফে থানা
অপেক্ষা করা,বাচ্চানাঃ
অপ্রতুলতা,অনটন্
অপ্রতুলতা,অনতিত্যা
অপ্রতুলতা,অনপিনো
অপ্রসন্ন,বেজার্
অপ্রাপ্তবয়স্ক,লেবা
অফুরন্ত,অঘুর্
অফুরন্ত,ধেল্
অফুরন্ত,গোধেল্
অফুরন্ত,অফুরন্দি
অবকাশ,আজের্
অবজ্ঞা,নাহাচ্
অবজ্ঞা করা,ফেচ্ গরানা
অবধি,সং
অবধি,ধগে
অবধি,তাবত্
অবধি,লাগার্
অবনতি ঘটা,আত্ ভাঙানা
অবরূদ্ধ,নাত্যা
অবরূদ্ধ,বান্যা
অবরূদ্ধ,ঘিচ্যা
অবরুদ্ধ করা,বানি থনা
অবরুদ্ধ করা,বন্ গরি থনা
অবশ হওয়া,সন্ মরানা
অবশিষ্ট,থুম্
অবশিষ্ট,থুমান্
অবশিষ্ট,উগুচ্যা
অবশিষ্ট থাকা,বাজানা
অবশিষ্ট থাকা,উগুরানা
অবশেষে,থুমেদি
অবশেষে,থুমোন্দি
অবশ্যই,হামাক্কাই
অবসন্ন হওয়া,তেঙেরা যানা
অবসন্ন হওয়া,
অবসর,সচ্চরম্
অবসর,আজের্
অবসর পাওয়া/মেলা,তাঙরানা
অবসর পাওয়া/মেলা,আজের্ অহ্না
অবসর পাওয়া/মেলা,আজের্ পানা
অবস্থা,অবচ্থা
অবস্থা,ধক্
অবস্থা,ঘজা
অবস্থা,ভ
অবস্থা,ধক্
অবস্থা,আহ্বাল্
অবস্থা,আহ্ল্
অবস্থা,অভ
অবস্থায়,মুই
অবস্থায়,অহ্ক্কে
অবহিত করা,বাত্তানা
অবহেলা,এহ্লাফেলা
অবহেলা,অহ্লিপ্
অবহেলা,অলেঅহ্ন্ 
অবহেলাপূর্ণ,চদর্ ভদর্
অবহেলাপূর্ণ,উগুরে উগুরে
অবয়ব,আরুক্
অবাক,আমক্
অবাক,চোদু
অবাধ্য,উল্লোঃ
অবিচ্ছিন্ন,সের্ নেয়ে
অবিচ্ছিন্ন,এক্লাগার্
অবিন্যস্ত,ফুজুক্ ফাজাক্
অবিন্যস্ত,ফেজেরা
অবিবাহিত,নিমোক্যা
অবিবেচক,বেআক্কল্
অবিবেচক,অজাবিন্
অবিরত,তেদের্ তেদের্
অবিরত,আজিরেন্
অবিরল,ধেদের্ ধেদের্
অবিরাম,আজিরেন্
অবিরাম,জিরেন্ নেয়ে
অবিরাম,এগজা
অবিরাম,এক্চাদেয়ে
অবিরাম,সের্ নেয়ে
অবিশ্রান্ত,আজিরেন্
অবিশ্রান্ত,জিরেন্ নেয়ে
অবিশ্রান্ত,এগজা
অবিশ্রান্ত,এক্চাদেয়ে
অবুঝ,অবুঝ্
অবৈধ সম্পর্ক,সিনালি
অবোধ,লেবা
অব্যর্থ,তেপ্
অব্যর্থ,অফিত্তি
অব্যর্থ,অক্খর্
অভদ্র,অসিভিল্
অভাব,নাগানাক্যা
অভাব,নিরেতিত্যা
অভাব,পরা
অভাব,রুধো
অভাবে,দুখ্যা
অভাবে,রাধে
অভিনয়,নদি
অভিনয়,ছলনা
অভিনয়,মোচন্
অভিনেতা,নদি
অভিবাদন,জুঃ
অভিবাদন,জুঃ জুঃ
অভিভাবক,গার্জিয়ান্
অভিভাবক,গিরোচ্
অভিমান,দেম্
অভিমান,ধুচ্
অভিমান,উড়িং
অভিমান,কুজোক্
অভিমানী,দেম্যা
অভিযোগ,দেম্
অভিযোগ,আবিত্তি
অভিযোগকারী,দেম্যা 
অভিলাষ,মন্ঝুক্
অভিশাপ,হম্বিক্
অভিশাপ,হম্বিচ্
অভিশাপ,গেল্
অভিশাপ দেওয়া,গেল্ দেনা
অভিসন্ধি,হেচ্
অভিসম্পাত,গেল্
অভুক্ত,আভুহুদা
অভুক্ত,উভোচ্
অভুক্ত,উভোচ্চাবাচ্
অভ্যস্ত হওয়া,পার্ বাঝানা
অভ্যাগত,গর্বা গর্বি
অভ্যাস,নিচ্
অভ্যাস,ফাজা
অভ্যাস,আক্যাং
অভ্যাস,আমল্
অমঙ্গল,ফি
অমঙ্গল,ভার্বো
অমনি,মত্তন্
অমনি,মত্তনি
অমসৃণ,দাগাভগা
অমাবস্যা,আঙচ্যা
অমার্জিত,অসিভিল্
অমুক,ফলনা
অমুক,অমুক্
অমুক,সমুক্
অমুক,দবনা
অমোঘ,অক্খর্
অমোঘ,অফিত্তি
অযত্ন,এহ্লাফেলা
অযত্ন,অলেঅহ্ন্
অযত্ন,অযত্তন্
অযথা,মাগানা
অযথা,বানা
অযথা,বানাবানা
অযথা,চুধোমে
অযথা,চুধো চুধো
অযথা,আথ্যা
অযথা,আল্লো আল্লো
অর্কিড,প্রসাল্লো
অর্গল,লাগারা
অর্গল,লাগারাক্
অর্থ,ভেত্
অর্থ,অত্থ
অর্ধদগ্ধ,সেজাপোরা
অর্ধদগ্ধ,আরাল়া
অর্ধেক,আত্ধান্
অর্ধসিদ্ধ,পেচ্চাল্
অর্পণ করা,দেনা
অর্পণ করা,গঝানা
অর্পণ করা,গঝে দেনা
অর্শ রোগ,পাংসুল্
অরুচি,নরুচ্যা
অরুচি,পেগাথ্যা
অরুচি,আঘেয়ে
অরুচি হওয়া,চিক্খো ঝরানা 
অলস,ভজা
অলস,আল্সি
অলসতা,আল্সি
অলসতা,আমন্যা
অল্প,হাঙদক্
অল্প,থোরা
অল্প,দিভে
অল্প,কয়েক্কো
অল্প,লাঘা
অল্প,কম্
অল্প,এক্কেনা
অল্প অল্প,তে তে
অল্প অল্প,এক্কা এক্কা
অশালীন,বেগেয়ে
অশিক্ষিত,বকলম্
অশিক্ষিত,অঘা
অশুচি,অসিজি
অশুভ,ভার্বো
অশুভ,অসিজি
অশুভ,ভান্যা
অশুভ হওয়া,পাঃ অহ্না
অশ্বত্থ গাছ,পাগচ্যা গাচ্
অশ্রম্নভেজা/সিক্ত,পান্যা পান্যা
অশ্লীল,বারা
অশ্লীল,বেগেয়ে
অসংখ্য,কাদাকাদা
অসংখ্য,অঘুর্
অসংখ্য,অসাগর্
অসংখ্য,তারা
অসংখ্য,তারা তারা
অসংখ্য,গণি বোরে নএছ্যা
অসৎ,দারিত্
অসৎ,ভান্যা
অসন্তুষ্ট,হর
অসন্তুষ্ট হওয়া,পেদানা
অসন্তোষ,কুজোক্
অসন্তোষ,বেজার্
অসভ্য,অসিভিল্
অসমতা,ফের্
অসময়,অদিন্
অসময়,বেঅক্তে
অসমান,কাবাক্ ঝাবাক্
অসমান,সং নেয়ে
অসমান,হার্বো
অসমান,ফুল্যা দেমেলাক্
অসমান,দেল়িলাম্বা
অসমান,ফের্
অসম্পূর্ণ,আরাল়া করলা
অসম্মত হওয়া,হাম্ ন হানা
অসহায়,অহ্বা অহ্বা কবা কবা
অসাধু ব্যক্তি,ফক্কর্
অসার,চবা
অসাড়,কংগরং
অসাড়  হওয়া,সন্ মরানা
অসাড়  হওয়া,সত্ মরানা
অসুখ,অসুখ্
অসুখ,উ
অসুখ,পিরে
অসুবিধা,দিত্তিরি
অসুবিধা,দিত্দিরি
অসুবিধা,বেকুচ্যা
অসুবিধা,বেজুত্
অসুবিধা,বেতাল্
অসুবিধা,বেদিঝে
অসুবিধা,লভাদচ্যা
অসুবিধাজনক,বেকুচ্যা
অসুবিধাজনক,বেজুত্
অসুবিধাজনক,বেতাল্
অসুবিধাজনক,বেদিঝে
অসুবিধাজনক,লভাদচ্যা
অসুবিধাজনক,দিত্তিরি
অসুবিধাজনক,অনটন্
অসুবিধাজনক,অনতিত্যা
অসুবিধাজনক,অনপিনো
অসুস্থ,পিরেল্যা
অসুস্থতা,পিরে
অস্ত্র,আহ্ত্যার্
অস্থিতিশীল,অথিদি
অস্থির,চুলোবুল্যা
অস্থির,ছনবন
অস্থির,তিনেং
অস্থির,অথিদি
অস্থির,তিনেং ফালাং
অস্থির,উলোমচ্ত
অস্থিরতা,ফুজুক্ ফাজাক্
অস্থিরতা,ফেজেরা
অস্থিরমতি,সত্তা পাগল্
অস্থির হওয়া,ছট্ফদানা
অস্পষ্ট,ঘুনু ঘুনু
অস্পষ্ট,রিপ্রিপ্
অস্পষ্ট,ঘুর্ঘুর্
অস্পষ্ট,লেবেরা ঝেবেরা
অস্পষ্ট,ঘুর্
অস্পষ্ট,চিমে চিমে
অস্পষ্ট,এক্কা এক্কা
অস্পষ্ট,রিমিঝিমি
অস্পষ্ট,লেভা
অস্বচ্ছল,রুধো
অস্বস্তি,তুনুং তানাং
অস্বস্তি,দিত্তিরি
অস্বস্তি,সিয়োংসামা
অস্বস্তিকর,বাঝুক্ বাঝাক্
অস্বস্তিকর,দিত্তিরি
অস্বস্তিকর,ভুবুক্সরা
অস্বাভাবিক,ভুবুক্সরা
অস্বামীক,নানুমরা
অস্বীকার করা,হাম্ ন হানা
অহংকার,গুত্তো
অহংকার,বার্
অহংকার,নাক্ অজল্
অহংকার করা,চেদানা
অহংকার করা,বার্ গরানা
অহংকারী,চেদেয়ে চেদেয়ে
অহংকারী,বার্ গরিয়ে
অহংকারী,বার্বো বার্বো
অহংকারী,বার্বো
আইল,আত্থু
আইল,এল্
আওয়াজ,আবাচ্
আওয়াজ,ঘুনুঘুনু
আওয়াজ,জগার্
আওয়াজ,র
আওয়াজ,জোল্
আওয়াজ,উহ্রুচ্ আহ্রাচ্
আঁকড়ে ধরা,ভাগুদানা
আঁকশি,কঙদা
আঁকা,আগানা
আঁকাবাঁকা,এড়াবেরা
আঁকাবাঁকা,বেড়াকরা
আঁকাবাঁকা,কেঙর্ বেঙর্
আঁকাবাঁকা,বেঙাকঙা
আঁকাবাঁকা,বেড়াবেচ্যা
আঁকিবুকি,আঙুর্ বিঙুর্
আঁচড়,আঙুত্যা
আঁচড়,আঙুর্ বিঙুর্
আঁচড় কাটা,ভাগুদানা
আঁচড়ানো,আঝানা
আঁচড়ানো,আঙুদানা
আঁচড়ানো,আজুরানা
আঁচড়ানো,হজরানা
আঁচল,পেল্
আঁচল,পেচ্
আঁচল,চাবুঘি
আঁচিল,আজনি
আঁটসাট,ভির্
আঁটসাট,কাদাকাত্যা
আঁটা,আদানা
আঁটি,গজর্
আঁটি,ম়ুত্
আঁটি,তুম্
আঁটি,বরা
আঁটি,বনা
আঁটোসাঁটো,চিবে
আঁটোসাঁটো,চিবেচিপ্যা
আঁটোসাটো করা,ভিরানা
আঁটোসাঁটো করে,পিজি পিজি
আঁটোসাঁটো করে,ভিরি ভিরি
আঁটোসাঁটো করে,কাদাকাত্যা গরি
আঁতি পাতি,পাত্রা পাত্রা
আঁতি পাতি,নিগুদি নিগুদি
আঁধার,আন্ধার্
আঁশ,চগলা
আঁশ,আচ্
আঁশ,জাল্
আঁশটে গন্ধ,চিন্ধে বাচ্
আংটা,ফাল্
আংটা,আন্ধিক্
আংটা,ফাল্
আংটা,নাভা
আংটা,কেবা
আংটি,আন্ধিক্
আকাঙ্খা,ধারোচ্
আকাঙ্খা,মন্ঝুক্
আকাট মুর্খ,অঝা
আকাট মুর্খ,বম্ভা
আকাট মুর্খ,বম্ভুলো
আকার,আরুক্
আকাশ,দেবা
আকাশ,আঘাচ্
আকাশী রং,সোচ্
আকুল,তিনেং
আকুল,তিনেং ফালাং
আকুল,তিনেং তিক্তিক্
আকুলি বিকুলি,ফা ফা
আক্রমনাত্মক ভঙ্গি,ঘেয়্ পাত্যা
আক্কেল,আক্কল্
আক্কেল গুডুম,চোদু
আক্কেল গুডুম,আমক্
আখ,কুছ্যাল্
আগলানো,আক্চুগানা
আগলে দাঁড়ানো,আক্চুগানা
আগন্তুক,বার্ভো
আগা,আগা
আগাছা,ফেজা
আগাছা,ফেজাকজা
আগাছা,হের্
আগামী,এঝেত্তে
আগামী,মুঝুং
আগামী,মুঝুঙে
আগামীকাল,এঝেত্তে কিল্যা
আগামীকাল,কিল্যা
আগে,আলত্যা
আগে,আক্কল্
আগে,উমুল্যা
আগে বাড়া,উজোনা
আগুন,বর্ম়া
আগুন,আঘুন্
আগুন জ্বালানো,আঘুন্ ধরানা
আগ্রহ,আহ্ওচ্
আগ্রহ,মন্ঝুক্
আগ্রহ,ধাপ্
আগ্রহ,লাল়চ্
আগ্রহ,গাঃক্
আগ্রহ,ধাপ্বলা
আগ্রহী হওয়া,আহ্গুদানা
আঘাত,ধুচ্
আঘাত,ধজা
আঘাত,ঘবা
আঘাত,থেবরক্
আঘাত,বারি
আঘাত,মের্
আঘাত,বেজা
আঘাত করা,লাঘানা
আঘাত করা,মারানা
আঙুল,আঙুল্
আঙ্গিনা,উধোন্
আজেবাজে,আদাল়ি পাদালি
আচরণ,পাজন্
আচরণ,আক্কল্
আচানক,আদিখ্যা
আচার্য্য,গুরু থাগুর্
আচ্ছা,অহ্দেয়্
আচ্ছা,ইঁ
আচ্ছাদন,জাগুর্
আছাড়,আঝার্
আছড়ানো,আজারানাঃ
আজ,ইচ্যা
আজীবন,উমোর্
আজেবাজে,চংবং
আজেবাজে,আদাল়ি পাদালি
আজেবাজে,সাদাবাগোচ্
আজেবাজে,ফুলুফালা
আজেবাজে,লালাবাজি
আজেবাজে জিনিস,সাদারা গাদারা
আট,আইত্তো
আটকানো,বাঝানা
আটকানো,আক্চুগানা
আঠা,গাঃম্
আঠা,আধা
আঠা,ল়া
আঠা,আধা
আঠালো,লেচ্ছো আদুল়ি
আঠালো,আধা
আঠালো,আধাআধা
আঠালো মাটি,মুজুনো মাদি
আড্ডা,ভেল্
আড্ডাবাজ,পুন্ গোঃর্
আড়,গর্
আড়,থক্
আড়,সিধেন্
আড়কাঠ,লাগারা
আড়কাঠ,লাগারাক্
আড়ম্বর,চদক্
আড়ষ্ট,কংগড়ং
আড়ষ্ট,গির্গিচ্যা
আড়ষ্ট,থাদর
আড়ষ্ট,দড় দড়
আড়াই,আড়ি
আড়াল,আন্দল্
আড়াআড়ি,করাত্যা
আড়াআড়ি,পাদাছ্যা
আড়াআড়িভাবে,ফিগিলেক্
আড়াআড়িভাবে,ফিগেফিক্যা
আড়াআড়িভাবে,ধাক্যা
আড়াআড়িভাবে,পাদাছ্যা
আড়াআড়িভাবে,চেগাচেক্যা
আণ্ডা,বদা
আতর,আঘর্
আতঙ্ক,ঝক্
আতঙ্ক,দর্
আতঙ্ক,দর্পুক্
আতঙ্কিত করা,ঝগানা
আতশবাজি,তারাবাজি
আতশবাজি,গোলাক্
আতুরি,আদুরি
আত্মসমর্পণ,সেলেন্দার্
আত্মধিক্কার,হম্বিক্
আত্মধিক্কার,হম্বিচ্
আত্মম্ভরিতা,পারং চোধুরি
আত্মসাৎ,ভুক্চি
আত্মসাৎ করা,গঝক্ গরানাঃ
আত্মহত্যা করা,নাত্ দেনা
